ASD Acronym,Designation,Title of Standard,Abstract,Link,,,
IEC,IEC 60287-1-3:2023 CMV,Electric cables - Calculation of the current rating - Part 1-3: Current rating equations (100 % load factor) and calculation of losses - Current sharing between parallel single-core cables and calculation of circulating current losses,Edition 2.0,https://webstore.iec.ch/en/iec-search/result?q=IEC 60287-1-3:2023 CMV,,,https://webstore.iec.ch/en/iec-search/result?q=IEC 60287-1-3:2023 CMV
IEC,IEC 60287-2-1:2023 CMV,Electric cables - Calculation of the current rating - Part 2-1: Thermal resistance - Calculation of thermal resistance,Edition 3.0,https://webstore.iec.ch/en/iec-search/result?q=IEC 60287-2-1:2023 CMV,,,https://webstore.iec.ch/en/iec-search/result?q=IEC 60287-2-1:2023 CMV
IEC,IEC 60300-3-14:2024,Dependability management - Part 3-14: Application guide - Supportability and support,Edition 2.0,https://webstore.iec.ch/en/iec-search/result?q=IEC 60300-3-14:2024,,,https://webstore.iec.ch/en/iec-search/result?q=IEC 60300-3-14:2024
IEC,IEC 60332-1-2:2025 CMV,Tests on electric and optical fibre cables under fire conditions - Part 1-2: Test for vertical flame propagation for a single insulated wire or cable - Procedure for 1 kW pre-mixed flame,Edition 2.0,https://webstore.iec.ch/en/iec-search/result?q=IEC 60332-1-2:2025 CMV,,,https://webstore.iec.ch/en/iec-search/result?q=IEC 60332-1-2:2025 CMV
IEC,IEC 60335-1:2020 CMV,Household and similar electrical appliances - Safety - Part 1: General requirements,Edition 6.0,https://webstore.iec.ch/en/iec-search/result?q=IEC 60335-1:2020 CMV,,,https://webstore.iec.ch/en/iec-search/result?q=IEC 60335-1:2020 CMV
IEC,IEC 60335-2-3:2022 CMV,Household and similar electrical appliances - Safety - Part 2-3: Particular requirements for electric irons,Edition 7.0,https://webstore.iec.ch/en/iec-search/result?q=IEC 60335-2-3:2022 CMV,,,https://webstore.iec.ch/en/iec-search/result?q=IEC 60335-2-3:2022 CMV
IEC,IEC 60335-2-5:2025 CMV,Household and similar electrical appliances - Safety - Part 2-5: Particular requirements for dishwashers,Edition 7.0,https://webstore.iec.ch/en/iec-search/result?q=IEC 60335-2-5:2025 CMV,,,https://webstore.iec.ch/en/iec-search/result?q=IEC 60335-2-5:2025 CMV
IEC,IEC 60335-2-6:2024 CMV,"Household and similar electrical appliances - Safety - Part 2-6: Particular requirements for stationary cooking ranges, hobs, ovens and similar appliances",Edition 7.0,https://webstore.iec.ch/en/iec-search/result?q=IEC 60335-2-6:2024 CMV,,,https://webstore.iec.ch/en/iec-search/result?q=IEC 60335-2-6:2024 CMV
IEC,IEC 60335-2-7:2024 CMV,Household and similar electrical appliances - Safety - Part 2-7: Particular requirements for washing machines,Edition 9.0,https://webstore.iec.ch/en/iec-search/result?q=IEC 60335-2-7:2024 CMV,,,https://webstore.iec.ch/en/iec-search/result?q=IEC 60335-2-7:2024 CMV
IEC,IEC 60335-2-8:2022 CMV,"Household and similar electrical appliances - Safety - Part 2-8: Particular requirements for shavers, hair clippers and similar appliances",Edition 7.0,https://webstore.iec.ch/en/iec-search/result?q=IEC 60335-2-8:2022 CMV,,,https://webstore.iec.ch/en/iec-search/result?q=IEC 60335-2-8:2022 CMV
IEC,IEC 60335-2-10:2021 CMV,Household and similar electrical appliances - Safety - Part 2-10: Particular requirements for floor treatment machines and wet scrubbing machines,Edition 6.0,https://webstore.iec.ch/en/iec-search/result?q=IEC 60335-2-10:2021 CMV,,,https://webstore.iec.ch/en/iec-search/result?q=IEC 60335-2-10:2021 CMV
IEC,IEC 60335-2-11:2024 CMV,Household and similar electrical appliances - Safety - Part 2-11: Particular requirements for tumble dryers,Edition 9.0,https://webstore.iec.ch/en/iec-search/result?q=IEC 60335-2-11:2024 CMV,,,https://webstore.iec.ch/en/iec-search/result?q=IEC 60335-2-11:2024 CMV
IEC,IEC 60335-2-12:2024 CMV,Household and similar electrical appliances - Safety - Part 2-12: Particular requirements for warming plates and similar appliances,Edition 6.0,https://webstore.iec.ch/en/iec-search/result?q=IEC 60335-2-12:2024 CMV,,,https://webstore.iec.ch/en/iec-search/result?q=IEC 60335-2-12:2024 CMV
IEC,IEC 60335-2-13:2021 CMV,"Household and similar electrical appliances - Safety - Part 2-13: Particular requirements for deep fat fryers, frying pans and similar appliances",Edition 7.0,https://webstore.iec.ch/en/iec-search/result?q=IEC 60335-2-13:2021 CMV,,,https://webstore.iec.ch/en/iec-search/result?q=IEC 60335-2-13:2021 CMV
IEC,IEC 60335-2-14:2025 CMV,Household and similar electrical appliances - Safety - Part 2-14: Particular requirements for kitchen machines,Edition 7.0,https://webstore.iec.ch/en/iec-search/result?q=IEC 60335-2-14:2025 CMV,,,https://webstore.iec.ch/en/iec-search/result?q=IEC 60335-2-14:2025 CMV
IEC,IEC 60335-2-15:2024 CMV,Household and similar electrical appliances - Safety - Part 2-15: Particular requirements for appliances for heating liquids,Edition 7.0,https://webstore.iec.ch/en/iec-search/result?q=IEC 60335-2-15:2024 CMV,,,https://webstore.iec.ch/en/iec-search/result?q=IEC 60335-2-15:2024 CMV
IEC,IEC 60335-2-16:2022 CMV,Household and similar electrical appliances - Safety - Part 2-16: Particular requirements for food waste disposers,Edition 6.0,https://webstore.iec.ch/en/iec-search/result?q=IEC 60335-2-16:2022 CMV,,,https://webstore.iec.ch/en/iec-search/result?q=IEC 60335-2-16:2022 CMV
IEC,IEC 60335-2-17:2022 CMV,"Household and similar electrical appliances - Safety - Part 2-17: Particular requirements for blankets, pads, clothing and similar flexible heating appliances",Edition 4.0,https://webstore.iec.ch/en/iec-search/result?q=IEC 60335-2-17:2022 CMV,,,https://webstore.iec.ch/en/iec-search/result?q=IEC 60335-2-17:2022 CMV
IEC,IEC 60335-2-21:2022 CMV,Household and similar electrical appliances - Safety - Part 2-21: Particular requirements for storage water heaters,Edition 7.0,https://webstore.iec.ch/en/iec-search/result?q=IEC 60335-2-21:2022 CMV,,,https://webstore.iec.ch/en/iec-search/result?q=IEC 60335-2-21:2022 CMV
IEC,IEC 60335-2-26:2024 CMV,Household and similar electrical appliances - Safety - Part 2-26: Particular requirements for clocks,Edition 5.0,https://webstore.iec.ch/en/iec-search/result?q=IEC 60335-2-26:2024 CMV,,,https://webstore.iec.ch/en/iec-search/result?q=IEC 60335-2-26:2024 CMV
IEC,IEC 60335-2-31:2024 CMV,Household and similar electrical appliances - Safety - Part 2-31: Particular requirements for range hoods and other cooking fume extractors,Edition 6.0,https://webstore.iec.ch/en/iec-search/result?q=IEC 60335-2-31:2024 CMV,,,https://webstore.iec.ch/en/iec-search/result?q=IEC 60335-2-31:2024 CMV
IEC,IEC 60335-2-32:2024 CMV,Household and similar electrical appliances - Safety - Part 2-32: Particular requirements for massage appliances,Edition 6.0,https://webstore.iec.ch/en/iec-search/result?q=IEC 60335-2-32:2024 CMV,,,https://webstore.iec.ch/en/iec-search/result?q=IEC 60335-2-32:2024 CMV
IEC,IEC 60335-2-36:2021 CMV,"Household and similar electrical appliances - Safety - Part 2-36: Particular requirements for commercial electric cooking ranges, ovens, hobs and hob elements",Edition 7.0,https://webstore.iec.ch/en/iec-search/result?q=IEC 60335-2-36:2021 CMV,,,https://webstore.iec.ch/en/iec-search/result?q=IEC 60335-2-36:2021 CMV
IEC,IEC 60335-2-41:2024 CMV,Household and similar electrical appliances - Safety - Part 2-41: Particular requirements for pumps,Edition 5.0,https://webstore.iec.ch/en/iec-search/result?q=IEC 60335-2-41:2024 CMV,,,https://webstore.iec.ch/en/iec-search/result?q=IEC 60335-2-41:2024 CMV
IEC,IEC 60335-2-42:2021+AMD1:2025 CSV,"Household and similar electrical appliances - Safety - Part 2-42: Particular requirements for commercial electric forced convection ovens, steam cookers and steam-convection ovens",Edition 6.1,https://webstore.iec.ch/en/iec-search/result?q=IEC 60335-2-42:2021+AMD1:2025 CSV,,,https://webstore.iec.ch/en/iec-search/result?q=IEC 60335-2-42:2021+AMD1:2025 CSV
IEC,IEC 60335-2-43:2024 CMV,Household and similar electrical appliances - Safety - Part 2-43: Particular requirements for clothes dryers and towel rails,Edition 5.0,https://webstore.iec.ch/en/iec-search/result?q=IEC 60335-2-43:2024 CMV,,,https://webstore.iec.ch/en/iec-search/result?q=IEC 60335-2-43:2024 CMV
IEC,IEC 60335-2-45:2024 CMV,Household and similar electrical appliances - Safety - Part 2-45: Particular requirements for portable heating tools and similar appliances,Edition 4.0,https://webstore.iec.ch/en/iec-search/result?q=IEC 60335-2-45:2024 CMV,,,https://webstore.iec.ch/en/iec-search/result?q=IEC 60335-2-45:2024 CMV
IEC,IEC 60335-2-51:2023 CMV,Household and similar electrical appliances - Safety - Part 2-51: Particular requirements for stationary circulation pumps for heating and service water installations,Edition 5.0,https://webstore.iec.ch/en/iec-search/result?q=IEC 60335-2-51:2023 CMV,,,https://webstore.iec.ch/en/iec-search/result?q=IEC 60335-2-51:2023 CMV
IEC,IEC 60335-2-54:2022 CMV,Household and similar electrical appliances - Safety - Part 2-54: Particular requirements for surface-cleaning appliances for household use employing liquids or steam,Edition 5.0,https://webstore.iec.ch/en/iec-search/result?q=IEC 60335-2-54:2022 CMV,,,https://webstore.iec.ch/en/iec-search/result?q=IEC 60335-2-54:2022 CMV
IEC,IEC 60335-2-59:2021 CMV,Household and similar electrical appliances - Safety - Part 2-59: Particular requirements for insect killers,Edition 4.0,https://webstore.iec.ch/en/iec-search/result?q=IEC 60335-2-59:2021 CMV,,,https://webstore.iec.ch/en/iec-search/result?q=IEC 60335-2-59:2021 CMV
IEC,IEC 60335-2-60:2023 CMV,Household and similar electrical appliances - Safety - Part 2-60: Particular requirements for whirlpool baths and whirlpool spas,Edition 5.0,https://webstore.iec.ch/en/iec-search/result?q=IEC 60335-2-60:2023 CMV,,,https://webstore.iec.ch/en/iec-search/result?q=IEC 60335-2-60:2023 CMV
IEC,IEC 60335-2-61:2024 CMV,Household and similar electrical appliances - Safety - Part 2-61: Particular requirements for thermal storage room heaters,Edition 3.0,https://webstore.iec.ch/en/iec-search/result?q=IEC 60335-2-61:2024 CMV,,,https://webstore.iec.ch/en/iec-search/result?q=IEC 60335-2-61:2024 CMV
IEC,IEC 60335-2-64:2021 CMV,Household and similar electrical appliances - Safety - Part 2-64: Particular requirements for commercial electric kitchen machines,Edition 4.0,https://webstore.iec.ch/en/iec-search/result?q=IEC 60335-2-64:2021 CMV,,,https://webstore.iec.ch/en/iec-search/result?q=IEC 60335-2-64:2021 CMV
IEC,IEC 60335-2-65:2023 CMV,Household and similar electrical appliances - Safety - Part 2-65: Particular requirements for air-cleaning appliances,Edition 3.0,https://webstore.iec.ch/en/iec-search/result?q=IEC 60335-2-65:2023 CMV,,,https://webstore.iec.ch/en/iec-search/result?q=IEC 60335-2-65:2023 CMV
IEC,IEC 60335-2-73:2024 CMV,Household and similar electrical appliances - Safety - Part 2-73: Particular requirements for fixed immersion heaters,Edition 3.0,https://webstore.iec.ch/en/iec-search/result?q=IEC 60335-2-73:2024 CMV,,,https://webstore.iec.ch/en/iec-search/result?q=IEC 60335-2-73:2024 CMV
IEC,IEC 60335-2-75:2024 CMV,Household and similar electrical appliances - Safety - Part 2-75: Particular requirements for commercial dispensing appliances and vending machines,Edition 4.0,https://webstore.iec.ch/en/iec-search/result?q=IEC 60335-2-75:2024 CMV,,,https://webstore.iec.ch/en/iec-search/result?q=IEC 60335-2-75:2024 CMV
IEC,IEC 60335-2-80:2024 CMV,Household and similar electrical appliances - Safety - Part 2-80: Particular requirements for fans,Edition 4.0,https://webstore.iec.ch/en/iec-search/result?q=IEC 60335-2-80:2024 CMV,,,https://webstore.iec.ch/en/iec-search/result?q=IEC 60335-2-80:2024 CMV
IEC,IEC 60335-2-81:2024 CMV,Household and similar electrical appliances - Safety - Part 2-81: Particular requirements for foot warmers and heating mats,Edition 4.0,https://webstore.iec.ch/en/iec-search/result?q=IEC 60335-2-81:2024 CMV,,,https://webstore.iec.ch/en/iec-search/result?q=IEC 60335-2-81:2024 CMV
IEC,IEC 60335-2-82:2024 CMV,Household and similar electrical appliances - Safety - Part 2-82: Particular requirements for amusement machines and personal service machines,Edition 4.0,https://webstore.iec.ch/en/iec-search/result?q=IEC 60335-2-82:2024 CMV,,,https://webstore.iec.ch/en/iec-search/result?q=IEC 60335-2-82:2024 CMV
IEC,IEC 60335-2-85:2022 CMV,Household and similar electrical appliances - Safety - Part 2-85: Particular requirements for fabric steamers,Edition 3.0,https://webstore.iec.ch/en/iec-search/result?q=IEC 60335-2-85:2022 CMV,,,https://webstore.iec.ch/en/iec-search/result?q=IEC 60335-2-85:2022 CMV
IEC,IEC 60335-2-95:2023 CMV,Household and similar electrical appliances - Safety - Part 2-95: Particular requirements for drives for vertically moving garage doors for residential use,Edition 5.0,https://webstore.iec.ch/en/iec-search/result?q=IEC 60335-2-95:2023 CMV,,,https://webstore.iec.ch/en/iec-search/result?q=IEC 60335-2-95:2023 CMV
IEC,IEC 60335-2-96:2024 CMV,Household and similar electrical appliances - Safety - Part 2-96: Particular requirements for flexible sheet heating elements for room heating,Edition 3.0,https://webstore.iec.ch/en/iec-search/result?q=IEC 60335-2-96:2024 CMV,,,https://webstore.iec.ch/en/iec-search/result?q=IEC 60335-2-96:2024 CMV
IEC,IEC 60335-2-97:2023 CMV,"Household and similar electrical appliances - Safety - Part 2-97: Particular requirements for drives for shutters, awnings, blinds and similar equipment",Edition 4.0,https://webstore.iec.ch/en/iec-search/result?q=IEC 60335-2-97:2023 CMV,,,https://webstore.iec.ch/en/iec-search/result?q=IEC 60335-2-97:2023 CMV
IEC,IEC 60335-2-101:2024 CMV,Household and similar electrical appliances - Safety - Part 2-101: Particular requirements for vaporizers,Edition 2.0,https://webstore.iec.ch/en/iec-search/result?q=IEC 60335-2-101:2024 CMV,,,https://webstore.iec.ch/en/iec-search/result?q=IEC 60335-2-101:2024 CMV
IEC,IEC 60335-2-103:2023 CMV,"Household and similar electrical appliances - Safety - Part 2-103: Particular requirements for drives for gates, doors and windows",Edition 4.0,https://webstore.iec.ch/en/iec-search/result?q=IEC 60335-2-103:2023 CMV,,,https://webstore.iec.ch/en/iec-search/result?q=IEC 60335-2-103:2023 CMV
IEC,IEC 60335-2-113:2025 CMV,Household and similar electrical appliances - Safety - Part 2-113: Particular requirements for beauty care appliances incorporating lasers and intense light sources,Edition 2.0,https://webstore.iec.ch/en/iec-search/result?q=IEC 60335-2-113:2025 CMV,,,https://webstore.iec.ch/en/iec-search/result?q=IEC 60335-2-113:2025 CMV
IEC,IEC 60335-2-116:2025 CMV,Household and similar electrical appliances - Safety - Part 2-116: Particular requirements for furniture with electrically motorized parts,Edition 2.0,https://webstore.iec.ch/en/iec-search/result?q=IEC 60335-2-116:2025 CMV,,,https://webstore.iec.ch/en/iec-search/result?q=IEC 60335-2-116:2025 CMV
IEC,IEC 60364-8-82:2022,Low-voltage electrical installations - Part 8-82: Functional aspects - Prosumer's low-voltage electrical installations,Edition 1.0,https://webstore.iec.ch/en/iec-search/result?q=IEC 60364-8-82:2022,,,https://webstore.iec.ch/en/iec-search/result?q=IEC 60364-8-82:2022
IEC,IEC 60384-2:2021,Fixed capacitors for use in electronic equipment - Part 2: Sectional specification - Fixed metallized polyethylene terephthalate film dielectric DC capacitors,Edition 5.0,https://webstore.iec.ch/en/iec-search/result?q=IEC 60384-2:2021,,,https://webstore.iec.ch/en/iec-search/result?q=IEC 60384-2:2021
IEC,IEC 60384-11:2019,Fixed capacitors for use in electronic equipment - Part 11: Sectional specification - Fixed polyethylene-terephthalate film dielectric metal foil DC capacitors,Edition 4.0,https://webstore.iec.ch/en/iec-search/result?q=IEC 60384-11:2019,,,https://webstore.iec.ch/en/iec-search/result?q=IEC 60384-11:2019
IEC,IEC 60384-13:2020,Fixed capacitors for use in electronic equipment - Part 13: Sectional specification - Fixed polypropylene film dielectric metal foil d.c. capacitors,Edition 5.0,https://webstore.iec.ch/en/iec-search/result?q=IEC 60384-13:2020,,,https://webstore.iec.ch/en/iec-search/result?q=IEC 60384-13:2020
IEC,IEC 60384-14:2023 CMV,Fixed capacitors for use in electronic equipment - Part 14: Sectional specification - Fixed capacitors for electromagnetic interference suppression and connection to the supply mains,Edition 5.0,https://webstore.iec.ch/en/iec-search/result?q=IEC 60384-14:2023 CMV,,,https://webstore.iec.ch/en/iec-search/result?q=IEC 60384-14:2023 CMV
IEC,IEC 60384-19:2022,Fixed capacitors for use in electronic equipment - Part 19: Sectional specification: Fixed metallized polyethylene terephthalate film dielectric surface mount DC capacitors,Edition 4.0,https://webstore.iec.ch/en/iec-search/result?q=IEC 60384-19:2022,,,https://webstore.iec.ch/en/iec-search/result?q=IEC 60384-19:2022
IEC,IEC 60384-20:2023 RLV,Fixed capacitors for use in electronic equipment - Part 20: Sectional specification - Fixed metallized polyphenylene sulfide film dielectric surface mount DC capacitors,Edition 4.0,https://webstore.iec.ch/en/iec-search/result?q=IEC 60384-20:2023 RLV,,,https://webstore.iec.ch/en/iec-search/result?q=IEC 60384-20:2023 RLV
IEC,IEC 60384-21:2024 CMV,"Fixed capacitors for use in electronic equipment - Part 21: Sectional specification - Fixed surface mount multilayer capacitors of ceramic dielectric, Class 1",Edition 4.0,https://webstore.iec.ch/en/iec-search/result?q=IEC 60384-21:2024 CMV,,,https://webstore.iec.ch/en/iec-search/result?q=IEC 60384-21:2024 CMV
IEC,IEC 60384-22:2024 CMV,"Fixed capacitors for use in electronic equipment - Part 22: Sectional specification - Fixed surface mount multilayer capacitors of ceramic dielectric, Class 2",Edition 4.0,https://webstore.iec.ch/en/iec-search/result?q=IEC 60384-22:2024 CMV,,,https://webstore.iec.ch/en/iec-search/result?q=IEC 60384-22:2024 CMV
IEC,IEC 60384-23:2023 RLV,Fixed capacitors for use in electronic equipment - Part 23: Sectional specification - Fixed metallized polyethylene naphthalate film dielectric surface mount DC capacitors,Edition 3.0,https://webstore.iec.ch/en/iec-search/result?q=IEC 60384-23:2023 RLV,,,https://webstore.iec.ch/en/iec-search/result?q=IEC 60384-23:2023 RLV
IEC,IEC 60393-3:2023,Potentiometers for use in electronic equipment - Part 3: Sectional specification: Rotary precision potentiometers,Edition 3.0,https://webstore.iec.ch/en/iec-search/result?q=IEC 60393-3:2023,,,https://webstore.iec.ch/en/iec-search/result?q=IEC 60393-3:2023
IEC,IEC 60393-4:2023,Potentiometers for use in electronic equipment - Part 4: Sectional specification: Single-turn rotary power potentiometers,Edition 3.0,https://webstore.iec.ch/en/iec-search/result?q=IEC 60393-4:2023,,,https://webstore.iec.ch/en/iec-search/result?q=IEC 60393-4:2023
IEC,IEC 60437:2023 CMV,Radio interference test on high-voltage insulators,Edition 3.0,https://webstore.iec.ch/en/iec-search/result?q=IEC 60437:2023 CMV,,,https://webstore.iec.ch/en/iec-search/result?q=IEC 60437:2023 CMV
IEC,IEC 60475:2022 CMV,Method of sampling insulating liquids,Edition 3.0,https://webstore.iec.ch/en/iec-search/result?q=IEC 60475:2022 CMV,,,https://webstore.iec.ch/en/iec-search/result?q=IEC 60475:2022 CMV
IEC,IEC 60512-23-3:2018 RLV,Connectors for electrical and electronic equipment - Tests and measurements - Part 23-3: Screening and filtering tests - Test 23c: Shielding effectiveness of connectors and accessories - Line injection method,Edition 2.0,https://webstore.iec.ch/en/iec-search/result?q=IEC 60512-23-3:2018 RLV,,,https://webstore.iec.ch/en/iec-search/result?q=IEC 60512-23-3:2018 RLV
IEC,IEC 60567:2023 CMV,Oil-filled electrical equipment - Sampling of free gases and analysis of free and dissolved gases in mineral oils and other insulating liquids - Guidance,Edition 5.0,https://webstore.iec.ch/en/iec-search/result?q=IEC 60567:2023 CMV,,,https://webstore.iec.ch/en/iec-search/result?q=IEC 60567:2023 CMV
IEC,IEC 60599:2022 CMV,Mineral oil-filled electrical equipment in service - Guidance on the interpretation of dissolved and free gases analysis,Edition 4.0,https://webstore.iec.ch/en/iec-search/result?q=IEC 60599:2022 CMV,,,https://webstore.iec.ch/en/iec-search/result?q=IEC 60599:2022 CMV
IEC,IEC 60601-2-37:2024 RLV,Medical electrical equipment - Part 2-37: Particular requirements for the basic safety and essential performance of ultrasonic medical diagnostic and monitoring equipment,Edition 3.0,https://webstore.iec.ch/en/iec-search/result?q=IEC 60601-2-37:2024 RLV,,,https://webstore.iec.ch/en/iec-search/result?q=IEC 60601-2-37:2024 RLV
IEC,IEC 60617:2025 DB,Graphical symbols for diagrams - 12-month subscription to regularly updated online database comprising parts 2 to 13 of IEC 60617,Edition 1.0,https://webstore.iec.ch/en/iec-search/result?q=IEC 60617:2025 DB,,,https://webstore.iec.ch/en/iec-search/result?q=IEC 60617:2025 DB
IEC,IEC 60695-7-1:2010,Fire hazard testing - Part 7-1: Toxicity of fire effluent - General guidance,Edition 3.0,https://webstore.iec.ch/en/iec-search/result?q=IEC 60695-7-1:2010,,,https://webstore.iec.ch/en/iec-search/result?q=IEC 60695-7-1:2010
IEC,IEC 60695-10-2:2014,Fire hazard testing - Part 10-2: Abnormal heat - Ball pressure test method,Edition 3.0,https://webstore.iec.ch/en/iec-search/result?q=IEC 60695-10-2:2014,,,https://webstore.iec.ch/en/iec-search/result?q=IEC 60695-10-2:2014
IEC,IEC 60728-5:2015,"Cable networks for television signals, sound signals and interactive services - Part 5: Headend equipment",Edition 3.0,https://webstore.iec.ch/en/iec-search/result?q=IEC 60728-5:2015,,,https://webstore.iec.ch/en/iec-search/result?q=IEC 60728-5:2015
IEC,IEC 60743:2013,"Live working - Terminology for tools, devices and equipment",Edition 3.0,https://webstore.iec.ch/en/iec-search/result?q=IEC 60743:2013,,,https://webstore.iec.ch/en/iec-search/result?q=IEC 60743:2013
IEC,IEC 60747-14-11:2021,"Semiconductor devices - Part 14-11: Semiconductor sensors - Test method of surface acoustic wave-based integrated sensors for measuring ultraviolet, illumination and temperature",Edition 1.0,https://webstore.iec.ch/en/iec-search/result?q=IEC 60747-14-11:2021,,,https://webstore.iec.ch/en/iec-search/result?q=IEC 60747-14-11:2021
IEC,IEC 60749-26:2025 CMV,Semiconductor devices - Mechanical and climatic test methods - Part 26: Electrostatic discharge (ESD) sensitivity testing - Human body model (HBM),Edition 5.0,https://webstore.iec.ch/en/iec-search/result?q=IEC 60749-26:2025 CMV,,,https://webstore.iec.ch/en/iec-search/result?q=IEC 60749-26:2025 CMV
IEC,IEC 60793-2-50:2025 CMV,Optical fibres - Part 2-50: Product specifications - Sectional specification for class B single-mode fibres,Edition 7.0,https://webstore.iec.ch/en/iec-search/result?q=IEC 60793-2-50:2025 CMV,,,https://webstore.iec.ch/en/iec-search/result?q=IEC 60793-2-50:2025 CMV
IEC,IEC 60904-2:2023 CMV,Photovoltaic devices - Part 2: Requirements for photovoltaic reference devices,Edition 4.0,https://webstore.iec.ch/en/iec-search/result?q=IEC 60904-2:2023 CMV,,,https://webstore.iec.ch/en/iec-search/result?q=IEC 60904-2:2023 CMV
IEC,IEC 60913:2024 CMV,Railway applications - Fixed installations - Electric traction overhead contact line systems,Edition 3.0,https://webstore.iec.ch/en/iec-search/result?q=IEC 60913:2024 CMV,,,https://webstore.iec.ch/en/iec-search/result?q=IEC 60913:2024 CMV
IEC,IEC 61000-4-3:2020,"Electromagnetic compatibility (EMC) - Part 4-3 : Testing and measurement techniques - Radiated, radio-frequency, electromagnetic field immunity test",Edition 4.0,https://webstore.iec.ch/en/iec-search/result?q=IEC 61000-4-3:2020,,,https://webstore.iec.ch/en/iec-search/result?q=IEC 61000-4-3:2020
IEC,IEC 61000-4-20:2022,Electromagnetic compatibility (EMC) - Part 4-20: Testing and measurement techniques - Emission and immunity testing in transverse electromagnetic (TEM) waveguides,Edition 3.0,https://webstore.iec.ch/en/iec-search/result?q=IEC 61000-4-20:2022,,,https://webstore.iec.ch/en/iec-search/result?q=IEC 61000-4-20:2022
IEC,IEC 61010-031:2022 CMV,"Safety requirements for electrical equipment for measurement, control, and laboratory use - Part 031: Safety requirements for hand-held and hand-manipulated probe assemblies for electrical test and measurement",Edition 3.0,https://webstore.iec.ch/en/iec-search/result?q=IEC 61010-031:2022 CMV,,,https://webstore.iec.ch/en/iec-search/result?q=IEC 61010-031:2022 CMV
IEC,IEC 61039:2025 CMV,Classification of insulating liquids,Edition 3.0,https://webstore.iec.ch/en/iec-search/result?q=IEC 61039:2025 CMV,,,https://webstore.iec.ch/en/iec-search/result?q=IEC 61039:2025 CMV
IEC,IEC 61097-4:2024 CMV,"Global maritime distress and safety system (GMDSS) - Part 4: Inmarsat-C ship earth station and Inmarsat enhanced group call (EGC) equipment - Operational and performance requirements, methods of testing and required test results",Edition 4.0,https://webstore.iec.ch/en/iec-search/result?q=IEC 61097-4:2024 CMV,,,https://webstore.iec.ch/en/iec-search/result?q=IEC 61097-4:2024 CMV
IEC,IEC 61109:2025 CMV,"Insulators for overhead lines ��� Composite suspension and tension insulators with AC voltage greater than 1 000 V and DC voltage greater than 1 500 V ��� Definitions, test methods and accepta",Edition 3.0,https://webstore.iec.ch/en/iec-search/result?q=IEC 61109:2025 CMV,,,https://webstore.iec.ch/en/iec-search/result?q=IEC 61109:2025 CMV
IEC,IEC 61162-1:2024 CMV,Maritime navigation and radiocommunication equipment and systems - Digital interfaces - Part 1: Single talker and multiple listeners,Edition 6.0,https://webstore.iec.ch/en/iec-search/result?q=IEC 61162-1:2024 CMV,,,https://webstore.iec.ch/en/iec-search/result?q=IEC 61162-1:2024 CMV
IEC,IEC 61162-2:2024 CMV,"Maritime navigation and radiocommunication equipment and systems - Digital interfaces - Part 2: Single talker and multiple listeners, high-speed transmission",Edition 2.0,https://webstore.iec.ch/en/iec-search/result?q=IEC 61162-2:2024 CMV,,,https://webstore.iec.ch/en/iec-search/result?q=IEC 61162-2:2024 CMV
IEC,IEC 61162-450:2024 CMV,Maritime navigation and radiocommunication equipment and systems - Digital interfaces - Part 450: Multiple talkers and multiple listeners - Ethernet interconnection,Edition 3.0,https://webstore.iec.ch/en/iec-search/result?q=IEC 61162-450:2024 CMV,,,https://webstore.iec.ch/en/iec-search/result?q=IEC 61162-450:2024 CMV
IEC,IEC 61162-460:2024 CMV,Maritime navigation and radiocommunication equipment and systems - Digital interfaces - Part 460: Multiple talkers and multiple listeners - Ethernet interconnection - Safety and security,Edition 3.0,https://webstore.iec.ch/en/iec-search/result?q=IEC 61162-460:2024 CMV,,,https://webstore.iec.ch/en/iec-search/result?q=IEC 61162-460:2024 CMV
IEC,IEC 61300-2-34:2024 CMV,Fibre optic interconnecting devices and passive components - Basic test and measurement procedures - Part 2-34: Tests - Resistance to solvents and contaminating fluids,Edition 3.0,https://webstore.iec.ch/en/iec-search/result?q=IEC 61300-2-34:2024 CMV,,,https://webstore.iec.ch/en/iec-search/result?q=IEC 61300-2-34:2024 CMV
IEC,IEC 61340-4-7:2025 CMV,Electrostatics - Part 4-7: Standard test methods for specific applications - Ionization,Edition 3.0,https://webstore.iec.ch/en/iec-search/result?q=IEC 61340-4-7:2025 CMV,,,https://webstore.iec.ch/en/iec-search/result?q=IEC 61340-4-7:2025 CMV
IEC,IEC 61340-4-9:2024 CMV,Electrostatics - Part 4-9: Standard test methods for specific applications - Garments - Resistive characterization,Edition 3.0,https://webstore.iec.ch/en/iec-search/result?q=IEC 61340-4-9:2024 CMV,,,https://webstore.iec.ch/en/iec-search/result?q=IEC 61340-4-9:2024 CMV
IEC,IEC 61340-5-1:2024 CMV,Electrostatics - Part 5-1: Protection of electronic devices from electrostatic phenomena - General requirements,Edition 3.0,https://webstore.iec.ch/en/iec-search/result?q=IEC 61340-5-1:2024 CMV,,,https://webstore.iec.ch/en/iec-search/result?q=IEC 61340-5-1:2024 CMV
