ASD Acronym,Designation,Title of Standard,Link
,ISO/TR 21958:2019,Ophthalmic optics  Review of the test methods used to assess scratch and abrasion resistance of spectacle lenses,https://www.iso.org/standard/72293.html
,ISO 21987:2017,Ophthalmic optics  Mounted spectacle lenses,https://www.iso.org/standard/65161.html
,ISO 22665:2012,Ophthalmic optics and instruments - Instruments to measure axial distances in the eye,https://www.iso.org/standard/36390.html
,ISO/TR 22979:2017,Ophthalmic implants  Intraocular lenses  Guidance on assessment of the need for clinical investigation of intraocular lens design modifications,https://www.iso.org/standard/61830.html
,ISO 24157:2008 /Amd 1:2020,Ophthalmic optics and instruments  Reporting aberrations of the human eye  Amendment 1,https://www.iso.org/standard/75923.html
,ISO/TS 24348:2014,Ophthalmic optics  Spectacle frames  Method for the simulation of wear and detection of nickel release from metal and combination spectacle frames,https://www.iso.org/standard/61819.html
,ISO/TR 28980:2007,Ophthalmic optics  Spectacle lenses  Parameters affecting lens power measurement,https://www.iso.org/standard/41182.html
,IEC 80601-2-58:2024,Medical electrical equipment  Part 2-58: Particular requirements for basic safety and essential performance of lens removal devices and vitrectomy devices for ophthalmic surgery,https://www.iso.org/standard/82719.html
,ISO 3665:1976,Photography  Intra-oral dental radiographic film  Specification,https://www.iso.org/standard/9118.html
,ISO 7376-2:1997,Laryngoscopic fittings  Part 2: Miniature electric lamps  Screw threads and sockets for conventional blades,https://www.iso.org/standard/14073.html
,ISO 21439:2009,Clinical dosimetry  Beta radiation sources for brachytherapy,https://www.iso.org/standard/40240.html
,ISO 4307:2021,Molecular in vitro diagnostic examinations  Specifications for pre-examination processes for saliva  Isolated human DNA,https://www.iso.org/standard/79865.html
,ISO 6717:2021,In vitro diagnostic medical devices  Single-use containers for the collection of specimens from humans other than blood,https://www.iso.org/standard/80907.html
,ISO 13079:2011,Laboratory glass and plastics ware  Tubes for the measurement of the erythrocyte sedimentation rate by the Westergren method,https://www.iso.org/standard/52663.html
,ISO 15193:2009,In vitro diagnostic medical devices  Measurement of quantities in samples of biological origin  Requirements for content and presentation of reference measurement procedures,https://www.iso.org/standard/42021.html
,ISO 15194:2009,In vitro diagnostic medical devices  Measurement of quantities in samples of biological origin  Requirements for certified reference materials and the content of supporting documentation,https://www.iso.org/standard/42022.html
,ISO 15197:2013,In vitro diagnostic test systems  Requirements for blood-glucose monitoring systems for self-testing in managing diabetes mellitus,https://www.iso.org/standard/54976.html
,ISO 15198:2004,Clinical laboratory medicine  In vitro diagnostic medical devices  Validation of user quality control procedures by the manufacturer,https://www.iso.org/standard/39751.html
,ISO 16256:2021,Clinical laboratory testing and in vitro diagnostic test systems  Broth micro-dilution reference method for testing the in vitro activity of antimicrobial agents against yeast fungi involved in infectious diseases,https://www.iso.org/standard/79379.html
,ISO 17511:2020,In vitro diagnostic medical devices  Requirements for establishing metrological traceability of values assigned to calibrators trueness control materials and human samples,https://www.iso.org/standard/69984.html
,ISO/TR 18112:2006,Clinical laboratory testing and in vitro diagnostic test systems  In vitro diagnostic medical devices for professional use  Summary of regulatory requirements for information supplied by the manufacturer,https://www.iso.org/standard/38590.html
,ISO 18113-1:2022,In vitro diagnostic medical devices  Information supplied by the manufacturer (labelling)  Part 1: Terms definitions and general requirements,https://www.iso.org/standard/79866.html
,ISO 18113-2:2022,In vitro diagnostic medical devices  Information supplied by the manufacturer (labelling)  Part 2: In vitro diagnostic reagents for professional use,https://www.iso.org/standard/79867.html
,ISO 18113-3:2022,In vitro diagnostic medical devices  Information supplied by the manufacturer (labelling)  Part 3: In vitro diagnostic instruments for professional use,https://www.iso.org/standard/79868.html
,ISO 18113-4:2022,In vitro diagnostic medical devices  Information supplied by the manufacturer (labelling)  Part 4: In vitro diagnostic reagents for self-testing,https://www.iso.org/standard/79869.html
,ISO 18113-5:2022,In vitro diagnostic medical devices  Information supplied by the manufacturer (labelling)  Part 5: In vitro diagnostic instruments for self-testing,https://www.iso.org/standard/79870.html
,ISO 18153:2003,In vitro diagnostic medical devices  Measurement of quantities in biological samples  Metrological traceability of values for catalytic concentration of enzymes assigned calibrators and control materials,https://www.iso.org/standard/31718.html
,ISO 19001:2013,In vitro diagnostic medical devices  Information supplied by the manufacturer with in vitro diagnostic reagents for staining in biology,https://www.iso.org/standard/51984.html
,ISO 20166-1:2018,Molecular in vitro diagnostic examinations  Specifications for pre-examination processes for formalin-fixed and paraffin-embedded (FFPE) tissue  Part 1: Isolated RNA,https://www.iso.org/standard/67179.html
,ISO 20166-2:2018,Molecular in vitro diagnostic examinations  Specifications for pre-examinations processes for formalin-fixed and paraffin-embedded (FFPE) tissue  Part 2: Isolated proteins,https://www.iso.org/standard/69802.html
,ISO 20166-3:2018,Molecular in vitro diagnostic examinations  Specifications for pre-examination processes for formalin-fixed and paraffin-embedded (FFPE) tissue  Part 3: Isolated DNA,https://www.iso.org/standard/69803.html
,ISO 20166-4:2021,Molecular in vitro diagnostic examinations  Specifications for preexamination processes for formalin-fixed and paraffin-embedded (FFPE) tissue  Part 4: In situ detection techniques,https://www.iso.org/standard/75442.html
,ISO 20184-1:2018,Molecular in vitro diagnostic examinations  Specifications for pre-examination processes for frozen tissue  Part 1: Isolated RNA,https://www.iso.org/standard/67215.html
,ISO 20184-2:2018,Molecular in vitro diagnostic examinations  Specifications for pre-examination processes for frozen tissue  Part 2: Isolated proteins,https://www.iso.org/standard/69801.html
,ISO 20184-3:2021,Molecular in vitro diagnostic examinations  Specifications for pre-examination processes for frozen tissue  Part 3: Isolated DNA,https://www.iso.org/standard/78110.html
,ISO 20186-1:2019,Molecular in vitro diagnostic examinations  Specifications for pre-examination processes for venous whole blood  Part 1: Isolated cellular RNA,https://www.iso.org/standard/67217.html
,ISO 20186-2:2019,Molecular in vitro diagnostic examinations  Specifications for pre-examination processes for venous whole blood  Part 2: Isolated genomic DNA,https://www.iso.org/standard/69799.html
,ISO 20186-3:2019,Molecular in vitro diagnostic examinations  Specifications for pre-examination processes for venous whole blood  Part 3: Isolated circulating cell free DNA from plasma,https://www.iso.org/standard/69800.html
,ISO 20916:2019,In vitro diagnostic medical devices  Clinical performance studies using specimens from human subjects  Good study practice,https://www.iso.org/standard/69455.html
,ISO 21151:2020,In vitro diagnostic medical devices  Requirements for international harmonisation protocols establishing metrological traceability of values assigned to calibrators and human samples,https://www.iso.org/standard/69985.html
,ISO 21474-1:2020,In vitro diagnostic medical devices  Multiplex molecular testing for nucleic acids  Part 1: Terminology and general requirements for nucleic acid quality evaluation,https://www.iso.org/standard/70960.html
,ISO 21474-2:2022,In vitro diagnostic medical devices  Multiplex molecular testing for nucleic acids  Part 2: Validation and verification,https://www.iso.org/standard/78024.html
,ISO 23118:2021,Molecular in vitro diagnostic examinations  Specifications for pre-examination processes in metabolomics in urine venous blood serum and plasma,https://www.iso.org/standard/74605.html
,ISO 23640:2011,In vitro diagnostic medical devices  Evaluation of stability of in vitro diagnostic reagents,https://www.iso.org/standard/54868.html
,ISO 29701:2010,Nanotechnologies  Endotoxin test on nanomaterial samples for in vitro systems  Limulus amebocyte lysate (LAL) test,https://www.iso.org/standard/45640.html
,ISO/TR 7405:1984,Biological evaluation of dental materials,https://www.iso.org/standard/14133.html
,ISO 10993-1:2018,Biological evaluation of medical devices  Part 1: Evaluation and testing within a risk management process,https://www.iso.org/standard/68936.html
,ISO 10993-3:2014,Biological evaluation of medical devices  Part 3: Tests for genotoxicity carcinogenicity and reproductive toxicity,https://www.iso.org/standard/55614.html
,ISO 10993-4:2017 /DAmd 1,Biological evaluation of medical devices  Part 4: Selection of tests for interactions with blood  Amendment 1,https://www.iso.org/standard/86862.html
,ISO 10993-5:2009,Biological evaluation of medical devices  Part 5: Tests for in vitro cytotoxicity,https://www.iso.org/standard/36406.html
,ISO/TR 10993-9:1994,Biological evaluation of medical devices  Part 9: Degradation of materials related to biological testing,https://www.iso.org/standard/18970.html
,ISO 10993-10:2021,Biological evaluation of medical devices  Part 10: Tests for skin sensitization,https://www.iso.org/standard/75279.html
,ISO 10993-12:2021 /DAmd 1,Biological evaluation of medical devices  Part 12: Sample preparation and reference materials  Amendment 1,https://www.iso.org/standard/88205.html
,ISO 14155:2020,Clinical investigation of medical devices for human subjects  Good clinical practice,https://www.iso.org/standard/71690.html
,ISO/TS 5441:2024,Competence requirements for biorisk management advisors,https://www.iso.org/standard/81240.html
,ISO/TS 5798:2022,In vitro diagnostic test systems  Requirements and recommendations for detection of severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) by nucleic acid amplification methods,https://www.iso.org/standard/81712.html
,ISO 7713:1985,Laboratory glassware  Disposable serological pipettes,https://www.iso.org/standard/14541.html
,ISO 12771:1997,Plastics laboratory ware  Disposable serological pipettes,https://www.iso.org/standard/1699.html
,ISO 12772:1997,Laboratory glassware  Disposable microhaematocrit capillary tubes,https://www.iso.org/standard/1816.html
,ISO 13130:2011,Laboratory glassware  Desiccators,https://www.iso.org/standard/53051.html
,ISO 13132:2023,Laboratory glassware  Petri dishes,https://www.iso.org/standard/82979.html
,ISO 15189:2022,Medical laboratories  Requirements for quality and competence,https://www.iso.org/standard/76677.html
,ISO 15190:2020,Medical laboratories  Requirements for safety,https://www.iso.org/standard/72191.html
,ISO/TS 17518:2015,Medical laboratories  Reagents for staining biological material  Guidance for users,https://www.iso.org/standard/59944.html
,ISO/TS 17822-1:2014,In vitro diagnostic test systems  Qualitative nucleic acid-based in vitro examination procedures for detection and identification of microbial pathogens  Part 1: General requirements terms and definitions,https://www.iso.org/standard/60601.html
,ISO 17822:2020,In vitro diagnostic test systems  Nucleic acid amplification-based examination procedures for detection and identification of microbial pathogens  Laboratory quality practice guide,https://www.iso.org/standard/67022.html
,ISO 20658:2023,Requirements for the collection and transport of samples for medical laboratory examinations,https://www.iso.org/standard/80035.html
,ISO/TS 20658:2017,Medical laboratories  Requirements for collection transport receipt and handling of samples,https://www.iso.org/standard/68763.html
,ISO/TS 20914:2019,Medical laboratories  Practical guidance for the estimation of measurement uncertainty,https://www.iso.org/standard/69445.html
,ISO 22367:2020,Medical laboratories  Application of risk management to medical laboratories,https://www.iso.org/standard/71254.html
,ISO/TS 22367:2008 /Cor 1:2009,Medical laboratories  Reduction of error through risk management and continual improvement  Technical Corrigendum 1,https://www.iso.org/standard/53345.html
,ISO/TS 22583:2019,Guidance for supervisors and operators of point-of-care testing (POCT) devices,https://www.iso.org/standard/73506.html
,ISO/TR 22869:2005,Medical laboratories  Guidance on laboratory implementation of ISO 15189: 2003,https://www.iso.org/standard/35172.html
,ISO 22870:2016,Point-of-care testing (POCT)  Requirements for quality and competence,https://www.iso.org/standard/71119.html
,ISO 23162:2021,Basic semen examination  Specification and test methods,https://www.iso.org/standard/74800.html
,ISO/TS 23824:2024,Medical laboratories  Guidance on application of ISO 15189 in anatomic pathology,https://www.iso.org/standard/77070.html
,ISO 24998:2008,Plastics laboratory ware   Single-use Petri dishes for microbiological procedures,https://www.iso.org/standard/42736.html
,ISO 35001:2019 /Amd 1:2024,Biorisk management for laboratories and other related organisations  Amendment 1: Climate action changes,https://www.iso.org/standard/88418.html
,ISO 10993-2:2022,Biological evaluation of medical devices  Part 2: Animal welfare requirements,https://www.iso.org/standard/78866.html
,ISO 10993-6:2016,Biological evaluation of medical devices  Part 6: Tests for local effects after implantation,https://www.iso.org/standard/61089.html
,ISO 10993-7:2008 /Cor 1:2009,Biological evaluation of medical devices  Part 7: Ethylene oxide sterilization residuals  Technical Corrigendum 1,https://www.iso.org/standard/55064.html
,ISO 10993-8:2000,Biological evaluation of medical devices  Part 8: Selection and qualification of reference materials for biological tests,https://www.iso.org/standard/18969.html
,ISO 10993-9:2019,Biological evaluation of medical devices  Part 9: Framework for identification and quantification of potential degradation products,https://www.iso.org/standard/64580.html
,ISO 10993-11:2017,Biological evaluation of medical devices  Part 11: Tests for systemic toxicity,https://www.iso.org/standard/68426.html
,ISO 10993-13:2010,Biological evaluation of medical devices  Part 13: Identification and quantification of degradation products from polymeric medical devices,https://www.iso.org/standard/44050.html
,ISO 10993-14:2001,Biological evaluation of medical devices  Part 14: Identification and quantification of degradation products from ceramics,https://www.iso.org/standard/22693.html
,ISO 10993-15:2019,Biological evaluation of medical devices  Part 15: Identification and quantification of degradation products from metals and alloys,https://www.iso.org/standard/68937.html
,ISO 10993-16:2017,Biological evaluation of medical devices  Part 16: Toxicokinetic study design for degradation products and leachables,https://www.iso.org/standard/64582.html
,ISO 10993-17:2023 /DAmd 1,Biological evaluation of medical devices  Part 17: Toxicological risk assessment of medical device constituents  Amendment 1,https://www.iso.org/standard/88201.html
,ISO 10993-18:2020 /Amd 1:2022,Biological evaluation of medical devices  Part 18: Chemical characterization of medical device materials within a risk management process  Amendment 1: Determination of the uncertainty factor,https://www.iso.org/standard/82241.html
,ISO/TS 10993-19:2020,Biological evaluation of medical devices  Part 19: Physico-chemical morphological and topographical characterization of materials,https://www.iso.org/standard/75138.html
,ISO/TS 10993-20:2006,Biological evaluation of medical devices  Part 20: Principles and methods for immunotoxicology testing of medical devices,https://www.iso.org/standard/35979.html
,ISO/TR 10993-22:2017,Biological evaluation of medical devices  Part 22: Guidance on nanomaterials,https://www.iso.org/standard/65918.html
,ISO 10993-23:2021 /DAmd 1,Biological evaluation of medical devices  Part 23: Tests for irritation  Amendment 1: Additional in vitro reconstructed human epidermis models,https://www.iso.org/standard/88200.html
,ISO/TR 10993-33:2015,Biological evaluation of medical devices  Part 33: Guidance on tests to evaluate genotoxicity  Supplement to ISO 10993-3,https://www.iso.org/standard/65052.html
,ISO/TR 10993-55:2023,Biological evaluation of medical devices  Part 55: Interlaboratory study on cytotoxicity,https://www.iso.org/standard/71862.html
,ISO/TS 11796:2023,Biological evaluation of medical devices  Requirements for interlaboratory studies to demonstrate the applicability of validated in vitro methods to assess the skin sensitization of medical devices,https://www.iso.org/standard/83916.html
,ISO 13022:2012,Medical products containing viable human cells  Application of risk management and requirements for processing practices,https://www.iso.org/standard/52368.html
,ISO 14155-1:2003,Clinical investigation of medical devices for human subjects  Part 1: General requirements,https://www.iso.org/standard/31723.html
,ISO 14155-2:2003,Clinical investigation of medical devices for human subjects  Part 2: Clinical investigation plans,https://www.iso.org/standard/32217.html
,ISO/TR 15499:2016,Biological evaluation of medical devices  Guidance on the conduct of biological evaluation within a risk management process,https://www.iso.org/standard/69217.html
,ISO/TS 16782:2016,Clinical laboratory testing  Criteria for acceptable lots of dehydrated Mueller-Hinton agar and broth for antimicrobial susceptibility testing,https://www.iso.org/standard/72141.html
,ISO 17593:2022,Clinical laboratory testing and in vitro medical devices  Requirements for in vitro monitoring systems for self-testing of oral anticoagulant therapy,https://www.iso.org/standard/79378.html
,ISO 20776-1:2019,Susceptibility testing of infectious agents and evaluation of performance of antimicrobial susceptibility test devices  Part 1: Broth micro-dilution reference method for testing the in vitro activity of antimicrobial agents against rapidly growing aerobic bacteria involved in infectious diseases,https://www.iso.org/standard/70464.html
,ISO 20776-2:2021,Clinical laboratory testing and in vitro diagnostic test systems  Susceptibility testing of infectious agents and evaluation of performance of antimicrobial susceptibility test devices  Part 2: Evaluation of performance of antimicrobial susceptibility test devices against reference broth micro-dilution,https://www.iso.org/standard/79377.html
,ISO/TS 20993:2006,Biological evaluation of medical devices  Guidance on a risk-management process,https://www.iso.org/standard/36403.html
,ISO/TR 21582:2021,Pyrogenicity  Principles and methods for pyrogen testing of medical devices,https://www.iso.org/standard/71150.html
,ISO/TS 21726:2019,Biological evaluation of medical devices  Application of the threshold of toxicological concern (TTC) for assessing biocompatibility of medical device constituents,https://www.iso.org/standard/71514.html
,ISO 22442-1:2020,Medical devices utilizing animal tissues and their derivatives  Part 1: Application of risk management,https://www.iso.org/standard/74280.html
,ISO 22442-2:2020,Medical devices utilizing animal tissues and their derivatives  Part 2: Controls on sourcing collection and handling,https://www.iso.org/standard/74281.html
,ISO 22442-3:2007,Medical devices utilizing animal tissues and their derivatives  Part 3:  Validation of the elimination and/or inactivation of viruses and transmissible spongiform encephalopathy (TSE) agents,https://www.iso.org/standard/39351.html
,ISO/TR 22442-4:2010,Medical devices utilizing animal tissues and their derivatives  Part 4: Principles for elimination and/or inactivation of transmissible spongiform encephalopathy (TSE) agents and validation assays for those processes,https://www.iso.org/standard/51985.html
,ISO 7405:2018,Dentistry  Evaluation of biocompatibility of medical devices used in dentistry,https://www.iso.org/standard/71503.html
,ISO 15195:2018,Laboratory medicine  Requirements for the competence of calibration laboratories using reference measurement procedures,https://www.iso.org/standard/69824.html
,ISO 6028:2023,Healthcare organization management  Pandemic response  Functional requirements for self-symptom checker app,https://www.iso.org/standard/81958.html
,ISO 8600-1:2015,Endoscopes  Medical endoscopes and endotherapy devices  Part 1: General requirements,https://www.iso.org/standard/67550.html
,ISO 8600-2:2015,Endoscopes - Medical endoscopes and endotherapy devices  Part 2: Particular requirements for rigid bronchoscopes,https://www.iso.org/standard/66090.html
,ISO 8600-3:2019,Endoscopes  Medical endoscopes and endotherapy devices  Part 3: Determination of field of view and direction of view of endoscopes with optics,https://www.iso.org/standard/65018.html
,ISO 8600-4:2023,Endoscopes  Medical endoscopes and endotherapy devices  Part 4: Determination of maximum width of insertion portion,https://www.iso.org/standard/84217.html
,ISO 8600-5:2020,Optics and photonics  Medical endoscopes and endotherapy devices  Part 5: Determination of optical resolution of rigid endoscopes with optics,https://www.iso.org/standard/65019.html
,ISO 8600-6:2020,Endoscopes  Medical endoscopes and endotherapy devices  Part 6: Vocabulary,https://www.iso.org/standard/65020.html
,ISO 8600-7:2012,Endoscopes  Medical endoscopes and endotherapy devices  Part 7: Basic requirements for medical endoscopes of water-resistant type,https://www.iso.org/standard/53699.html
,ISO 8600-8:2021,Endoscopes  Medical endoscopes and endotherapy devices  Part 8: Particular requirements for capsule endoscopes,https://www.iso.org/standard/69818.html
,ISO/TR 13154:2017,Medical electrical equipment  Deployment implementation and operational guidelines for identifying febrile humans using a screening thermograph,https://www.iso.org/standard/69347.html
,ISO/TS 18339:2015,Endotherapy devices  Eyepiece cap and light guide connector,https://www.iso.org/standard/62211.html
,ISO 18340:2020,Endoscopes  Trocar pins trocar sleeves and endotherapy devices for use with trocar sleeves,https://www.iso.org/standard/77328.html
,ISO/TS 18340:2015,Endoscopes  Trocar pins trocar sleeves and endotherapy devices for use with trocar sleeves,https://www.iso.org/standard/62212.html
,ISO 18615:2020,Traditional Chinese medicine  General requirements of electric radial pulse tonometric devices,https://www.iso.org/standard/71491.html
,ISO 19614:2017,Traditional Chinese medicine  Pulse graph force transducer,https://www.iso.org/standard/65479.html
,ISO/TS 20758:2019,Traditional Chinese medicine  Abdominal physiological parameter detectors,https://www.iso.org/standard/68984.html
,ISO 23961-1:2021,Traditional Chinese medicine  Vocabulary for diagnostics  Part 1: Tongue,https://www.iso.org/standard/77468.html
,ISO 23961-2:2021,Traditional Chinese medicine  Vocabulary for diagnostics  Part 2: Pulse,https://www.iso.org/standard/77470.html
,ISO/TS 23961-3:2024,Traditional Chinese medicine  Vocabulary for diagnostics  Part 3: Abdomen,https://www.iso.org/standard/82571.html
,IEC 80601-2-26:2019 /Amd 1:2024,Medical electrical equipment  Part 2-26: Particular requirements for the basic safety and essential performance of electroencephalographs  Amendment 1,https://www.iso.org/standard/82718.html
,IEC 80601-2-49:2018 /Amd 1:2024,Medical electrical equipment  Part 2-49: Particular requirements for the basic safety and essential performance of multifunction patient monitoring equipment  Amendment 1,https://www.iso.org/standard/82716.html
,IEC 80601-2-59:2017 /Amd 1:2023,Medical electrical equipment  Part 2-59: Particular requirements for the basic safety and essential performance of screening thermographs for human febrile temperature screening  Amendment 1,https://www.iso.org/standard/83469.html
,IEC 80601-2-71:2015,Medical electrical equipment  Part 2-71: Particular requirements for the basic safety and essential performance of functional Near-Infrared Spectroscopy (NIRS) equipment,https://www.iso.org/standard/61105.html
,ISO 80601-2-56:2017 /Amd 1:2018,Medical electrical equipment  Part 2-56: Particular requirements for basic safety and essential performance of clinical thermometers for body temperature measurement  Amendment 1,https://www.iso.org/standard/75005.html
,ISO 5227:2022,Traditional Chinese medicine  Safety controls for cupping devices,https://www.iso.org/standard/81034.html
,ISO 21291:2019,Traditional Chinese medicine Therapeutic fumigation devices,https://www.iso.org/standard/70469.html
,ISO 22213:2020,Traditional Chinese medicine  Glass cupping device,https://www.iso.org/standard/72884.html
,ISO 22466:2021,Traditional Chinese medicine  Laser acupoint devices,https://www.iso.org/standard/73287.html
,ISO 22587:2023,Traditional Chinese medicine  Acupoint magnetotherapy plasters for single use,https://www.iso.org/standard/73510.html
,ISO 24571:2022,Traditional Chinese medicine  General requirements for the basic safety and essential performance of electro-acupuncture stimulators,https://www.iso.org/standard/71496.html
,ISO 18665:2022,Traditional Chinese medicine  Herbal decoction apparatus,https://www.iso.org/standard/83597.html
,ISO 18666:2021,Traditional Chinese medicine  General requirements of moxibustion devices,https://www.iso.org/standard/83343.html
,ISO 18777:2005,Transportable liquid oxygen systems for medical use  Particular requirements,https://www.iso.org/standard/38870.html
,ISO 19054:2005 /Amd 1:2016,Rail systems for supporting medical equipment  Amendment 1,https://www.iso.org/standard/66152.html
,ISO 19611:2017,Traditional Chinese medicine  Air extraction cupping device,https://www.iso.org/standard/65463.html
,ISO 20308:2017,Traditional Chinese medicine  Gua Sha instruments,https://www.iso.org/standard/67623.html
,ISO 20493:2018,Traditional Chinese medicine  Infrared moxibustion-like instrument,https://www.iso.org/standard/68210.html
,ISO 20495:2018,Traditional Chinese medicine  Skin electrical resistance measurement devices,https://www.iso.org/standard/68212.html
,ISO 20498-1:2019,Traditional Chinese medicine  Computerized tongue image analysis system  Part 1: General requirements,https://www.iso.org/standard/68216.html
,ISO 20498-2:2017,Traditional Chinese medicine  Computerized tongue image analysis system  Part 2: Light environment,https://www.iso.org/standard/68215.html
,ISO/TS 20498-3:2020,Traditional Chinese medicine  Computerized tongue image analysis system  Part 3: Colour chart,https://www.iso.org/standard/70794.html
,ISO/TS 20498-4:2020,Traditional Chinese medicine  Computerized tongue image analysis system  Part 4: Peripheral visual instruments,https://www.iso.org/standard/70795.html
,ISO/TR 20498-5:2019,Traditional Chinese medicine  Computerized tongue image analysis system  Part 5: Method of acquisition and expression of tongue colour and tongue coating colour,https://www.iso.org/standard/70523.html
,ISO 21292:2020,Traditional Chinese medicine  Electric heating moxibustion equipment,https://www.iso.org/standard/70470.html
,ISO 21366:2019,Traditional Chinese medicine  General requirements for smokeless moxibustion devices,https://www.iso.org/standard/70791.html
,ISO 23907-1:2019,Sharps injury protection  Requirements and test methods  Part 1: Single-use sharps containers,https://www.iso.org/standard/71506.html
,ISO 23907-2:2019,Sharps injury protection  Requirements and test methods  Part 2: Reusable sharps containers,https://www.iso.org/standard/72503.html
,ISO 23907:2012,Sharps injury protection  Requirements and test methods  Sharps containers,https://www.iso.org/standard/52896.html
,ISO 1942-1:1989 /Amd 5:1993,Dental vocabulary  Part 1: General and clinical terms  Amendment 5,https://www.iso.org/standard/20658.html
,ISO 1942-2:1989 /Amd 2:1992,Dental vocabulary  Part 2: Dental materials  Amendment 2,https://www.iso.org/standard/6656.html
,ISO 1942-3:1989 /Amd 2:1992,Dental vocabulary  Part 3: Dental instruments  Amendment 2,https://www.iso.org/standard/6661.html
,ISO 1942-4:1989 /Amd 1:1992,Dental vocabulary  Part 4: Dental equipment  Amendment 1,https://www.iso.org/standard/6665.html
,ISO 1942-5:1989,Dental vocabulary  Part 5: Terms associated with testing,https://www.iso.org/standard/6667.html
,ISO 1942:2020 /CD Amd 1,Dentistry  Vocabulary  Amendment 1,https://www.iso.org/standard/85754.html
,ISO 3246:1977,Dentistry  Working space of the dentist  Definitions and principles,https://www.iso.org/standard/8459.html
,ISO 3950:2016,Dentistry  Designation system for teeth and areas of the oral cavity,https://www.iso.org/standard/68292.html
,ISO 5365:2024,Dentistry  Designation system for tooth developmental stages,https://www.iso.org/standard/81172.html
,ISO 10394:2023,Dentistry  Designation system for supernumerary teeth,https://www.iso.org/standard/83669.html
,ISO 12836:2015,Dentistry  Digitizing devices for CAD/CAM systems for indirect dental restorations  Test methods for assessing accuracy,https://www.iso.org/standard/68414.html
,ISO 13078-2:2016,Dentistry  Dental furnace  Part 2: Test method for evaluation of furnace programme via firing glaze,https://www.iso.org/standard/66196.html
,ISO 13078-3:2023,Dentistry  Dental furnace  Part 3: Test method for the evaluation of high temperature sintering furnace measurement with a separate thermocouple,https://www.iso.org/standard/81023.html
,ISO/TR 13668:1998,Digital coding of oral health and care,https://www.iso.org/standard/21235.html
,ISO/TR 15300:2001,Dentistry  Application of OSI clinical codification to the classification and coding of dental products,https://www.iso.org/standard/34782.html
,ISO/TR 15599:2002 /Cor 1:2003,Digital codification of dental laboratory procedures  Technical Corrigendum 1,https://www.iso.org/standard/38892.html
,ISO 16059:2007,Dentistry  Required elements for codification used in data exchange,https://www.iso.org/standard/37693.html
,ISO 16202-1:2019,Dentistry  Nomenclature of oral anomalies  Part 1: Code for the representation of oral anomalies,https://www.iso.org/standard/73576.html
,ISO 16202-2:2019,Dentistry  Nomenclature of oral anomalies  Part 2: Developmental anomalies of teeth,https://www.iso.org/standard/73577.html
,ISO 16443:2014,Dentistry  Vocabulary for dental implants systems and related procedure,https://www.iso.org/standard/56786.html
,ISO 17937:2015,Dentistry  Osteotome,https://www.iso.org/standard/61064.html
,ISO 18618:2022,Dentistry  Interoperability of CAD/CAM systems,https://www.iso.org/standard/79923.html
,ISO 18739:2016,Dentistry  Vocabulary of process chain for CAD/CAM systems,https://www.iso.org/standard/63227.html
,ISO/TR 18845:2017,Dentistry  Test methods for machining accuracy of computer-aided milling machines,https://www.iso.org/standard/63558.html
,ISO 20888:2020,Dentistry  Vocabulary and designation system for forensic oro-dental data,https://www.iso.org/standard/69372.html
,ISO 20896-1:2019,Dentistry  Digital impression devices  Part 1: Methods for assessing accuracy,https://www.iso.org/standard/69402.html
,ISO/TR 20896-2:2023,Dentistry  Digital impression devices  Part 2: Methods for assessing accuracy for implanted devices,https://www.iso.org/standard/76858.html
,ISO 21531:2009,Dentistry  Graphical symbols for dental instruments,https://www.iso.org/standard/34571.html
,ISO/TR 22710:2019,Dentistry  Vocabulary of process chain from dental CT to CAD/CAM for implant prosthetic restorations  Backward planning in the digital process chain,https://www.iso.org/standard/73736.html
,ISO 23298:2023,Dentistry  Test methods for machining accuracy of computer-aided milling machines,https://www.iso.org/standard/75167.html
,ISO 24395:2023,Dentistry  Classification of tooth restorations preparation,https://www.iso.org/standard/78710.html
,ISO 1559:1995 /Cor 1:1997,Dental materials  Alloys for dental amalgam  Technical Corrigendum 1,https://www.iso.org/standard/28797.html
,ISO 1560:1985,Dental mercury,https://www.iso.org/standard/6151.html
,ISO 1561:1995,Dental casting wax,https://www.iso.org/standard/20265.html
,ISO 1562:2004,Dentistry  Casting gold alloys,https://www.iso.org/standard/33951.html
,ISO 1563:1990,Dental alginate impression material,https://www.iso.org/standard/6157.html
,ISO 1564:1995,Dental aqueous impression materials based on agar,https://www.iso.org/standard/22897.html
,ISO 1565:1978,Dental silicate cement (hand mixed),https://www.iso.org/standard/6160.html
,ISO 1566:1978,Dental zinc phosphate cement,https://www.iso.org/standard/6161.html
,ISO 1567:1999 /Amd 1:2003,Dentistry  Denture base polymers  Amendment 1,https://www.iso.org/standard/35350.html
,ISO 3106:1974,Dental zinc oxide/eugenol filling materials,https://www.iso.org/standard/8255.html
,ISO 3107:2022,Dentistry  Zinc oxide-eugenol cements and non-eugenol zinc oxide cements,https://www.iso.org/standard/84407.html
,ISO 3336:1993,Dentistry  Synthetic polymer teeth,https://www.iso.org/standard/8603.html
,ISO 3824:1984,Dental silicophosphate cement (hand-mixed),https://www.iso.org/standard/9374.html
,ISO 3851:1977,Capsulated dental silicate and silico-phosphate filling materials,https://www.iso.org/standard/9414.html
