ASD Acronym,Designation,Title of Standard,Project Action,Date SA PINS,Date SA BSR8,Date Final Action,PR status,CON_id::Email,__pk_PSA_id
IEEE,ANSI/IEEE C57.12.00-2015,"Standard for General Requirements for Liquid-Immersed Distribution, Power, and Regulating Transformers",(revision of ANSI/IEEE C57.12.00-2010),08/12/2011,08/26/2016,06/12/2017,Approved,k.evangelista@ieee.org,156422
IEEE,ANSI/IEEE C57.12.01-2015,Standard for General Requirements for Dry-Type Distribution and Power Transformers,(new standard),02/19/2010,08/14/2015,08/23/2016,Approved,k.evangelista@ieee.org,152362
IEEE,ANSI/IEEE C57.12.20-2024,"Standard for Overhead-Type Distribution Transformers 500 kVA and Smaller; High Voltage, 34 500 V and Below; Low Voltage, 7970/13 800Y V and Below",(new standard),10/01/2021,12/01/2023,07/09/2024,Approved,k.evangelista@ieee.org,160112
IEEE,ANSI/IEEE C57.12.24-2024,"Standard for Submersible, Three-Phase Transformers, 3750 kVA and Smaller: High Voltage, 34 500 GrdY/19 920 Volts and Below; Low Voltage, 600 Volts and Below ",(revision of ANSI/IEEE C57.12.24-2016),10/01/2021,12/01/2023,07/15/2024,Approved,k.evangelista@ieee.org,187637
IEEE,ANSI/IEEE C57.12.34-2024,"Standard Requirements for Pad-Mounted, Compartmental-Type, Self-Cooled, Three-Phase Distribution Transformers, 10 MVA and Smaller; High-Voltage, 34.5 kV Nominal System Voltage and Below; Low-Voltage, 15 kV Nominal System Voltage and Below",(revision of ANSI/IEEE C57.12.34-2015),10/01/2021,09/15/2023,05/07/2024,Approved,k.evangelista@ieee.org,187636
IEEE,ANSI/IEEE C57.12.36-2017,Standard Requirements for Liquid-Immersed Distribution Substation Transformers,(new standard),03/02/2012,04/13/2018,04/03/2019,Approved,k.evangelista@ieee.org,158959
IEEE,ANSI/IEEE C57.12.40-2017,"Standard for Network, Three-Phase Transformers, 2500 kVA and Smaller; High Voltage, 34 500 V and Below; Low Voltage, 600 V and Below; Subway and Vault Types (Liquid Immersed)",(new standard),11/02/2012,11/03/2017,10/29/2018,Approved,k.evangelista@ieee.org,161085
IEEE,ANSI/IEEE C57.12.59-2015,Guide for Dry-Type Transformer Through-Fault Current Duration,(revision of ANSI/IEEE C57.12.59-2002 (R2006)),03/02/2012,02/19/2016,11/30/2016,Approved,k.evangelista@ieee.org,158961
IEEE,ANSI/IEEE C57.12.90-2015,"Standard Test Code for Liquid-Immersed Distribution, Power, and Regulating Transformers",(revision of ANSI/IEEE C57.12.90-2010),08/12/2011,05/27/2016,05/31/2017,Approved,k.evangelista@ieee.org,156423
IEEE,ANSI/IEEE C57.120-2017,Guide for Loss Evaluation of Distribution and Power Transformers and Reactors,(new standard),06/11/2010,07/21/2017,07/02/2018,Approved,k.evangelista@ieee.org,153233
IEEE,ANSI/IEEE C57.125-2015,"Guide for Failure Investigation, Documentation, Analysis, and Reporting for Power Transformers and Shunt Reactors",(new standard),03/04/2011,02/19/2016,12/16/2016,Approved,k.evangelista@ieee.org,155043
IEEE,ANSI/IEEE C57.13-2016,Standard Requirements for Instrument Transformers,(revision of ANSI/IEEE C57.13-2008),06/11/2010,08/26/2016,08/21/2017,Approved,k.evangelista@ieee.org,153232
IEEE,ANSI/IEEE C57.130-2015,Guide for the Use of Dissolved Gas Analysis Applied to Factory Temperature Rise Tests for the Evaluation of Mineral Oil-Immersed Transformers and Reactors,(new standard),01/17/2014,04/08/2016,04/07/2017,Approved,k.evangelista@ieee.org,153458
IEEE,ANSI/IEEE C57.138-2016,Recommended Practice for Routine Impulse Tests for Distribution Transformers,(new standard),03/04/2011,05/26/2017,05/22/2018,Approved,k.evangelista@ieee.org,155044
IEEE,ANSI/IEEE C57.139-2015,Guide for Dissolved Gas Analysis in Transformer Load Tap Changers,(new standard),08/12/2011,05/27/2016,06/12/2017,Approved,k.evangelista@ieee.org,156394
IEEE,ANSI/IEEE C57.140-2017,Guide for Evaluation and Reconditioning of Liquid Immersed Power Transformers,(revision of BSR/IEEE C57.140-2006),07/22/2011,04/13/2018,04/29/2019,Approved,k.evangelista@ieee.org,156241
IEEE,ANSI/IEEE C57.143-2012,Guide for Application for Monitoring Equipment to Liquid-Immersed Transformers and Components,(new standard),04/12/2002,07/05/2013,10/22/2014,Approved,k.evangelista@ieee.org,122538
IEEE,ANSI/IEEE C57.149-2012,Guide for the Application and Interpretation of Frequency Response Analysis for Oil-Immersed Transformers,(new standard),07/23/2004,07/05/2013,10/22/2014,Approved,k.evangelista@ieee.org,133578
IEEE,ANSI/IEEE C57.150-2012,Guide for the Transportation of Transformers and Reactors Rated 10 000 kVA or Higher,(new standard),12/10/2004,07/05/2013,10/03/2014,Approved,k.evangelista@ieee.org,134668
IEEE,ANSI/IEEE C57.152-2013,"Guide for Diagnostic Field Testing of Fluid-Filled Power Transformers, Regulators, and Reactors
",(revision and redesignation of ANSI/IEEE 62-1995 (R2005)),06/13/2008,09/27/2013,07/31/2015,Approved,k.evangelista@ieee.org,163933
IEEE,ANSI/IEEE C57.153-2015,Guide for Paralleling Regulating Transformers,(new standard),05/23/2008,02/19/2016,09/09/2016,Approved,k.evangelista@ieee.org,144044
IEEE,ANSI/IEEE C57.156-2016,Guide for Tank Rupture Mitigation of Liquid-Immersed Power Transformers and Reactors,(new standard),08/12/2011,12/02/2016,12/06/2017,Approved,k.evangelista@ieee.org,156388
IEEE,ANSI/IEEE C57.157-2015,Guide for Conducting Functional Life Tests on Switch Contacts Used in Insulating Liquid-Immersed Transformers,(new standard),02/24/2012,04/08/2016,04/07/2017,Approved,k.evangelista@ieee.org,158874
IEEE,ANSI/IEEE C57.159-2016,Guide on Transformers for Application in Distributed Photovoltaic (DPV) Power Generation Systems,(new standard),07/06/2012,12/02/2016,11/21/2017,Approved,k.evangelista@ieee.org,160050
IEEE,ANSI/IEEE C57.163-2015,Guide for Establishing Power Transformer Capability while under Geomagnetic Disturbances,(new standard),07/03/2015,02/19/2016,09/13/2016,Approved,k.evangelista@ieee.org,168630
IEEE,ANSI/IEEE C57.17-2012,Standard Requirements for Arc Furnace Transformers,(new standard),08/17/2007,07/05/2013,10/21/2014,Approved,k.evangelista@ieee.org,141815
IEEE,ANSI/IEEE C57.19.100-2012,Guide for Application of Power Apparatus Bushings,(revision of ANSI/IEEE C57.19.100-1995 (R2003)),05/05/2006,07/12/2013,11/03/2014,Approved,k.evangelista@ieee.org,138499
IEEE,ANSI/IEEE C57.32-2015,"Standard for Requirements, Terminology, and Test Procedures for Neutral Grounding Devices",(new standard),03/02/2012,05/27/2016,05/11/2017,Approved,k.evangelista@ieee.org,138462
IEEE,ANSI/IEEE C57.637-2015,Guide for the Reclamation of Mineral Insulating Oil and Criteria for Its Use,(revision and redesignation of ANSI/IEEE 637-1985 (R2007)),02/06/2009,04/08/2016,04/10/2017,Approved,k.evangelista@ieee.org,149085
IEEE,ANSI/IEEE C57.94-2015,"Recommended Practice for Installation, Application, Operation, and Maintenance of Dry-Type Distribution and Power Transformers",(revision of ANSI/IEEE C57.94-2000 (R2006)),02/24/2012,05/27/2016,06/01/2017,Approved,k.evangelista@ieee.org,158898
IEEE,ANSI/IEEE C62.33-2016,Standard for Test Methods and Performance Values of Metal-Oxide Varistor Surge Protective Components,(new standard),07/22/2011,05/26/2017,05/22/2018,Approved,k.evangelista@ieee.org,122559
IEEE,ANSI/IEEE C62.36-2016,"Standard Test Methods for Surge Protectors and Protective Circuits Used in Information and Communications Technology (ICT) Circuits, and Smart Grid Data Circuits",(revision of ANSI/IEEE C62.36-2000 (R2006)),03/26/2010,12/02/2016,11/28/2017,Approved,k.evangelista@ieee.org,152607
IEEE,ANSI/IEEE C62.37.1-2012,Guide for the Application of Thyristor Surge Protective Device Components,(new standard),08/25/2006,07/12/2013,10/06/2014,Approved,k.evangelista@ieee.org,139253
IEEE,ANSI/IEEE C62.39-2012,Standard for Test Methods and Preferred Values for Self-Restoring Current-Limiter Components Used in Telecommunication Surge Protection,(new standard),11/02/2012,07/05/2013,10/03/2014,Approved,k.evangelista@ieee.org,152567
IEEE,ANSI/IEEE C62.42.0-2016,Guide for the Application of Surge-Protective Components in Surge Protective Devices and Equipment Ports - Overview,(new standard),04/12/2013,06/02/2017,05/08/2018,Approved,k.evangelista@ieee.org,162671
IEEE,ANSI/IEEE C62.42.1-2016,Guide for the Application of Surge-Protective Components in Surge Protective Devices and Equipment Ports--Part 1: Gas Discharge Tubes (GDTs),(new standard),04/12/2013,03/24/2017,03/23/2018,Approved,k.evangelista@ieee.org,162658
IEEE,ANSI/IEEE C62.42.3-2017,Guide for the Application of Surge-Protective Components in Surge Protective Devices and Equipment Ports - Part 3 Silicon PN-Junction Clamping Diodes,(new standard),01/17/2014,09/08/2017,08/16/2018,Approved,k.evangelista@ieee.org,164720
IEEE,ANSI/IEEE C62.44-2016,Guide for the Application of Low-Voltage (1000 V rms or Less) Surge Protective Devices Used on Secondary Distribution Systems (Between the Transformer Low-Voltage Terminals and the Line Side of the Service Equipment),(new standard),05/21/2010,05/26/2017,05/18/2018,Approved,k.evangelista@ieee.org,153080
IEEE,ANSI/IEEE C62.69-2016,Standard for the Surge Parameters of Isolating Transformers Used in Networking Devices and Equipment,(new standard),11/29/2013,08/26/2016,08/03/2017,Approved,k.evangelista@ieee.org,152568
IEEE,ANSI/IEEE C62.72-2016,"Guide for the Application of Surge-Protective Devices for Use on the Load Side of Service Equipment in Low-Voltage (1000 V or Less, 50 Hz or 60 Hz) AC Power Circuits",(revision of ANSI/IEEE C62.72-2007),07/17/2009,09/02/2016,07/28/2017,Approved,k.evangelista@ieee.org,150302
IEEE,ANSI/IEEE C62.92.2-2017,"Guide for the Application of Neutral Grounding in Electrical Utility Systems, Part II--Synchronous Generator Systems",(new standard),10/30/2009,07/21/2017,08/07/2018,Approved,k.evangelista@ieee.org,151438
IEEE,ANSI/IEEE C62.92.3-2012,"Guide for the Application of Neutral Grounding in Electrical Utility Systems, Part III -Generator Auxiliary Systems",(revision of ANSI/IEEE C62.92.3-1993 (R2005)),,07/12/2013,10/27/2014,Approved,k.evangelista@ieee.org,163356
IEEE,ANSI/IEEE C93.3-2017,Standard for the Requirements for Power-Line Carrier Line Traps (30-500 kHz),(new standard),02/24/2012,08/11/2017,07/02/2018,Approved,k.evangelista@ieee.org,158861
IEEE,ANSI/IEEE C93.4-2012,Standard for Power-Line Carrier Line-Tuning Equipment (30 kHz to 500 kHz) Associated with Power Transmission Lines,(new standard),07/15/2005,07/05/2013,10/03/2014,Approved,k.evangelista@ieee.org,136309
IEEE,ANSI/IEEE Std 2621.1-2022/UL 2621-1:2022,Standard for Wireless Diabetes Device Security Assurance Evaluation: Connected Electronic Product Security Evaluation Programs,(new standard),07/03/2020,09/16/2022,12/01/2022,Approved,k.evangelista@ieee.org,183837
IEEE,ANSI/IEEE Std 2621.2-2022/UL 2621-2:2022,Standard for Wireless Diabetes Device Security: Information Security Requirements for Connected Diabetes Solutions,(new standard),07/03/2020,09/16/2022,12/01/2022,Approved,k.evangelista@ieee.org,183838
IEEE,ANSI/IEEE Std 2621.3-2022/UL 2621-3:2022,Recommended Practice for Wireless Diabetes Device Security: Use of Mobile Devices in Diabetes Control Contexts,(new standard),07/03/2020,09/16/2022,12/01/2022,Approved,k.evangelista@ieee.org,183839
IEEE,ANSI/IEEE/IES 3001.9-2024,Recommended Practice for the Design of Power Systems Supplying Lighting Systems in Commercial and Industrial Facilities,(new standard),04/29/2022,05/26/2023,05/07/2024,Approved,k.evangelista@ieee.org,189176
IEEE (ASC C2),ANSI NESC C2-2023,National Electrical Safety Code,(revision of ANSI ASC C2 NESC-2022),08/25/2023,10/06/2023,11/09/2023,Approved,j.santulli@ieee.org,192955
IEEE (ASC N42),ANSI C63.27-2021,Standard for Evaluation of Wireless Coexistence,(revision of ANSI C63.27-2017),12/01/2017,09/03/2021,11/29/2021,Approved,J.Santulli@ieee.org,175804
IEEE (ASC N42),ANSI N42.17AC-2022,Performance Specifications for Health Physics Instrumentation- Portable Survey Instrumentation for Use in Normal and Extreme Environmental Conditions,(new standard),02/13/2015,04/24/2020,03/04/2022,Approved,J.Santulli@ieee.org,167636
IEEE (ASC N42),ANSI N42.32-2016,Performance Criteria for Alarming Personal Radiation Detectors for Homeland Security,(revision of ANSI N42.32-2006),09/06/2013,06/19/2015,04/07/2016,Approved,J.Santulli@ieee.org,163684
IEEE (ASC N42),ANSI N42.32a-2022,Performance Criteria for Alarming Personal Radiation Detectors for Homeland Security,(addenda to ANSI N42.32-2016),04/10/2020,10/30/2020,03/04/2022,Approved,J.Santulli@ieee.org,183070
IEEE (ASC N42),ANSI N42.33-2019,Standard for Portable Gamma and Radiation Detection Instrumentation for Homeland Security,(new standard),10/21/2016,10/13/2017,08/09/2019,Approved,J.Santulli@ieee.org,172357
IEEE (ASC N42),ANSI N42.34-2021,Standard Performance Criteria for Handheld Instruments for the Detection and Identification of Radionuclides,(revision of ANSI N42.34-2015),,04/02/2021,05/20/2021,Approved,J.Santulli@ieee.org,185958
IEEE (ASC N42),ANSI N42.34a-2020,Standard Performance Criteria for Handheld Instruments for the Detection and Identification of Radionuclides Amendment,(addenda to ANSI N42.34-2015),09/06/2019,05/15/2020,08/10/2020,Approved,J.Santulli@ieee.org,181545
IEEE (ASC N42),ANSI N42.35-2016,Standard for Evaluation and Performance of Radiation Detection Portal Monitors for Use in Homeland Security,(revision of ANSI N42.35-2006),09/06/2013,02/20/2015,03/17/2016,Approved,J.Santulli@ieee.org,163683
IEEE (ASC N42),ANSI N42.37-2016,Training for the Radiological/Nuclear Detection Mission,(revision of ANSI N42.37-2006),08/15/2014,09/09/2016,11/07/2016,Approved,J.Santulli@ieee.org,166446
IEEE (ASC N42),ANSI N42.38a-2018,Standard for Performance Criteria for Spectroscopy-Based Portal Monitors Used for Homeland Security,(revision of ANSI N42.38-2015),06/29/2018,08/31/2018,12/17/2018,Approved,J.Santulli@ieee.org,177585
IEEE (ASC N42),ANSI N42.41-2021,Standard Minimum Performance Criteria for Active Interrogation Systems Used for Homeland Security,(revision of ANSI N42.41-2007 (R2017)),10/20/2017,05/28/2021,11/12/2021,Approved,J.Santulli@ieee.org,175425
IEEE (ASC N42),ANSI N42.42-2020,Standard Data Format for Radiation Detectors Used for Homeland Security,(revision of ANSI N42.42-2012),04/26/2019,09/27/2019,04/23/2020,Approved,s.h.kim@ieee.org,180057
IEEE (ASC N42),ANSI N42.43-2016,Performance Criteria for Mobile and Transportable Radiation Monitors Used for Homeland Security,(revision of ANSI N42.43-2006),09/06/2013,11/13/2015,04/26/2016,Approved,J.Santulli@ieee.org,163682
IEEE (ASC N42),ANSI N42.45-2021,Standard for Evaluating the Image Quality of X-ray Computed Tomography (CT) Security-Screening Systems,(new standard),09/05/2014,09/03/2021,12/22/2021,Approved,J.Santulli@ieee.org,166580
IEEE (ASC N42),ANSI N42.46-2008 (R2017),Standard for Determination of the Imaging Performance of X-Ray and Gamma-Ray Systems for Cargo and Vehicle Security Screening,(reaffirmation of ANSI N42.46-2008),09/08/2017,09/22/2017,11/14/2017,Approved,J.Santulli@ieee.org,175081
IEEE (ASC N42),ANSI N42.48-2018,Standard Performance Requirements for Spectrometric Personal Radiation Detectors (SPRDs) for Homeland Security,(new standard),10/20/2017,07/06/2018,11/05/2018,Approved,J.Santulli@ieee.org,175424
IEEE (ASC N42),ANSI N42.49A (R2022),Standard for Performance Criteria for Alarming Electronic Personal Emergency RadiationDetectors (PERDs) for Exposure Control,(reaffirmation and redesignation of ANSI/N42.49a-2011),01/01/2021,03/18/2022,05/06/2022,Approved,J.Santulli@ieee.org,185114
IEEE (ASC N42),ANSI N42.50-2022,Standard Performance Specifications for Instrumentation Systems Designed for Measuring Radon Progeny in Air,(new standard),01/19/2007,04/16/2021,03/04/2022,Approved,J.Santulli@ieee.org,140225
IEEE (ASC N42),ANSI N42.53-2021,Standard Performance Criteria for Backpack- Based Radiation-Detection Systems Used for Homeland Security,(revision of ANSI N42.53-2013),08/23/2019,01/29/2021,04/21/2021,Approved,J.Santulli@ieee.org,181459
IEEE (ASC N42),ANSI N42.54-2018,Draft Standard for Instrumentation and Systems for Monitoring Airborne Radioactivity,"(revision and partition of ANSI N42.18-2004, N42.17B, ANSI N42.18, ANSI N42.30, ANSI N323C)",08/27/2010,10/20/2017,01/10/2018,Approved,J.Santulli@ieee.org,153741
IEEE (ASC N42),ANSI N42.60-2019,Standard Training for Radiological/Nuclear Detection for Initial Response,(new standard),10/13/2017,05/24/2019,08/08/2019,Approved,J.Santulli@ieee.org,175378
IES,ANSI/IES DG-3-2000 (R2015),Application of Luminaire Symbols on Lighting Design Drawing,(reaffirmation of ANSI/IESNA DG-3-2000 (R2010)),12/19/2014,03/27/2015,06/25/2015,Approved,pmcgillicuddy@ies.org,167304
IES,ANSI/IES LM-10-2020 (R2023),Approved Method: Photometric Testing of Roadway and Area Lighting Fluorescent Luminaires,(reaffirmation of ANSI/IES LM-10-2020),,02/03/2023,04/28/2023,Approved,pmcgillicuddy@ies.org,191171
IES,ANSI/IES LM-11-2020 (R2023),Approved Method: Photometric Testing of Searchlights Using Incandescent or HID Sources,(reaffirmation of ANSI/IES LM-11-2020),,02/03/2023,04/28/2023,Approved,pmcgillicuddy@ies.org,191172
IES,ANSI/IES LM-20-20,Approved Method: Photometry of Reflector Type Lamps,(new standard),02/15/2019,12/20/2019,02/07/2020,Approved,pmcgillicuddy@ies.org,179490
IES,ANSI/IES LM-28-20,"Approved Method: Guide for the Selection, Care and Use of Electrical Instruments in the Photometric Laboratory",(new standard),07/19/2019,09/27/2019,02/07/2020,Approved,pmcgillicuddy@ies.org,180958
IES,ANSI/IES LM-31-2020 (R2023),Approved Method: Photometric Testing of Roadway and Area Lighting Luminaires Using Incandescent Filament or High Intensity Discharge Lamps,(reaffirmation of ANSI/IES LM-31-2020),,02/03/2023,04/28/2023,Approved,pmcgillicuddy@ies.org,191200
IES,ANSI/IES LM-35-2020 (R2023),Approved Method: Photometric Testing of Floodlights Using High Intensity Discharge or Incandescent Filament Lamps,(reaffirmation of ANSI/IES LM-35-2020),,02/03/2023,04/28/2023,Approved,pmcgillicuddy@ies.org,191173
IES,ANSI/IES LM-37-20,Approved Method: IES Guide for Determinatino of Average Luminance (Calculated) for Indoor Luminaires,(new standard),11/01/2019,12/20/2019,02/07/2020,Approved,pmcgillicuddy@ies.org,181919
IES,ANSI/IES LM-40-2020 (R2023),Approved Method: Life Testing of Fluorescent Lamps,(reaffirmation of ANSI/IES LM-40-2020),,02/03/2023,04/28/2023,Approved,pmcgillicuddy@ies.org,191179
IES,ANSI/IES LM-41-2020 (R2023),Approved Method: Photometric Testing of Indoor Fluorescent Luminaires,(reaffirmation of ANSI/IES LM-41-2020),,02/03/2023,04/28/2023,Approved,pmcgillicuddy@ies.org,191174
IES,ANSI/IES LM-45-2020 (R2023),Approved Method: Electrical and Photometric Measurement of General Service Incandescent Filament Lamps,(reaffirmation of ANSI/IES LM-45-2020),,02/03/2023,04/28/2023,Approved,pmcgillicuddy@ies.org,191166
IES,ANSI/IES LM-46-2020 (R2023),Approved Method: Photometric Testing of Indoor Luminaires Using High Intensity Discharge or Incandescent Filament Lamps,(reaffirmation of ANSI/IES LM-46-2020),,02/03/2023,04/28/2023,Approved,pmcgillicuddy@ies.org,191175
IES,ANSI/IES LM-47-2020 (R2023),Approved Method: Life Testing of High Intensity Discharge (HID) Lamps,(reaffirmation of ANSI/IES LM-47-2020),,02/03/2023,04/28/2023,Approved,pmcgillicuddy@ies.org,191180
IES,ANSI/IES LM-48-20,Approved Method: Testing the Calibration of Locking-Type Photoelectric Control Devices Used in Outdoor Applications,(new standard),07/05/2019,01/24/2020,03/19/2020,Approved,pmcgillicuddy@ies.org,180583
IES,ANSI/IES LM-49-2020 (R2023),Approved Method: Life Testing of Incandescent Filament Lamps,(reaffirmation of ANSI/IES LM-49-2020),,02/03/2023,04/28/2023,Approved,pmcgillicuddy@ies.org,191181
IES,ANSI/IES LM-51-2020 (R2023),Approved Method: Electrical and Photometric Measurement of High Intensity Discharge Lamps,(reaffirmation of ANSI/IES LM-51-2020),,02/03/2023,04/28/2023,Approved,pmcgillicuddy@ies.org,191167
IES,ANSI/IES LM-54-20,Approved Method: IES Guide to Lamp Seasoning,(new standard),02/15/2019,11/08/2019,02/07/2020,Approved,pmcgillicuddy@ies.org,179497
IES,ANSI/IES LM-58-20,Approved Method: Spectroradiometric Measurement Methods for Light Sources,(new standard),02/15/2019,09/27/2019,02/07/2020,Approved,pmcgillicuddy@ies.org,179498
IES,ANSI/IES LM-61-2020 (R2023),Approved Method: Identifying Operating Factors for Installed High Intensity Discharge Luminaires,(reaffirmation of ANSI/IES LM-61-2020),,02/03/2023,04/28/2023,Approved,pmcgillicuddy@ies.org,191177
IES,ANSI/IES LM-62-2020 (R2023),Approved Method: Laboratory or Field Thermal Measurements of Fluorescent Lamps and Ballasts in Luminaires,(reaffirmation of ANSI/IES LM-62-2020),,02/03/2023,04/28/2023,Approved,pmcgillicuddy@ies.org,191178
IES,ANSI/IES LM-63-20,Approved Method: Standard File Format for the Electronic Transfer of Photometric Data and Related Information,(new standard),02/22/2019,07/05/2019,01/06/2020,Approved,pmcgillicuddy@ies.org,169973
IES,ANSI/IES LM-65-2020 (R2023),Approved Method: Life Testing of Single-Ended Fluorescent Lamps,(reaffirmation of ANSI/IES LM-65-2020),,02/03/2023,04/28/2023,Approved,pmcgillicuddy@ies.org,191190
IES,ANSI/IES LM-66-2020 (R2023),Approved Method: Electrical and Photometric Measurements of Single-Ended Fluorescent Lamps,(reaffirmation of ANSI/IES LM-66-2020),,02/03/2023,04/28/2023,Approved,pmcgillicuddy@ies.org,191168
IES,ANSI/IES LM-72-20,Approved Method: Directional Positioning of Photometric Data,(new standard),11/08/2019,03/06/2020,04/21/2020,Approved,pmcgillicuddy@ies.org,181920
IES,ANSI/IES LM-73-18 (R2023),Approved Method: For Photometric Testing of Entertainment Lighting Luminaires Using Incandescent Filament Lamps or High Intensity Discharge Lamps,(reaffirmation of ANSI/IES LM-73-2004 (R2017)),03/15/2019,02/03/2023,04/28/2023,Approved,pmcgillicuddy@ies.org,173231
IES,ANSI/IES LM-75-19,"Approved Method: IES Guide to Goniometer Measurements and Types, and Photometric Coordinate Systems",(new standard),02/15/2019,06/14/2019,11/22/2019,Approved,pmcgillicuddy@ies.org,179487
IES,ANSI/IES LM-77-20,Approved Method: Intensity Distribution Measurement of Luminaires and Lamps using Digital Screen Imaging Photometry,(new standard),02/15/2019,11/08/2019,02/07/2020,Approved,pmcgillicuddy@ies.org,179499
IES,ANSI/IES LM-78-20,Approved Method: Total Luminous Flux Measurement of Lamps using an Integrating Sphere Photometer,(new standard),02/15/2019,07/19/2019,02/07/2020,Approved,pmcgillicuddy@ies.org,179500
IES,ANSI/IES LM-79-19,IES Approved Method: Optical and Electrical Measurements of Solid-State Lighting Products,(new standard),12/04/2015,03/15/2019,05/14/2019,Approved,pmcgillicuddy@ies.org,155844
IES,ANSI/IES LM-80-21,Approved Method: Measuring Maintenance of Light Output Characteristics of Solid-State Light Sources,(revision of ANSI/IES LM-80-2017 (R2020)),,06/18/2021,08/06/2021,Approved,pmcgillicuddy@ies.org,186609
IES,ANSI/IES LM-81-2020 (R2023),Approved Method: Photometric Testing of Skylights and Tubular Daylighting Devices Under Hemispherical Sky Conditions,(reaffirmation of ANSI/IES LM-81-2020),,02/03/2023,04/28/2023,Approved,pmcgillicuddy@ies.org,191176
IES,ANSI/IES LM-82-20,IES Approved Method for the Characterization of Optical and Electrical Properties of Solid-State Lighting Products as a Function of Temperature,(new standard),03/15/2019,11/08/2019,02/07/2020,Approved,pmcgillicuddy@ies.org,179755
IES,ANSI/IES LM-83-23,Approved Method: Spatial Daylight Autonomy and Annual Sunlight Exposure,(new standard),03/15/2019,09/02/2022,02/16/2023,Approved,pmcgillicuddy@ies.org,179756
IES,ANSI/IES LM-84-20,"Approved Method: Measuring Luminous, Radiant, and Photon Flux; and Color and Aspects of Spectral Maintenance of LED Lamps, Light Engines, and Luminaires",(new standard),03/15/2019,01/24/2020,03/23/2020,Approved,pmcgillicuddy@ies.org,179757
IES,ANSI/IES LM-85-23,IES Approved Method: Optical and Electrical Measurements of LED Sources,(revision of ANSI/IES LM-85-2020),05/12/2023,08/04/2023,09/25/2023,Approved,pmcgillicuddy@ies.org,192192
IES,ANSI/IES LM-86-20 (R2023),Approved Method: Measuring Luminous Flux and Color Maintenance of Remote Phosphor Components,(reaffirmation of ANSI/IES LM-86-2020),,02/03/2023,04/28/2023,Approved,pmcgillicuddy@ies.org,191182
IES,ANSI/IES LM-88-18 (R2023),Approved Method: Optical and Electrical Measurements of AC-LED Packages and Arrays or Modules,(reaffirmation of ANSI/IES LM-88-2018),,04/07/2023,06/06/2023,Approved,pmcgillicuddy@ies.org,191653
IES,ANSI/IES LM-9-20 (R2023),Approved Method: Electrical and Photometric Measurement of Fluorescent Lamps,(reaffirmation of ANSI/IES LM-9-2020),,02/03/2023,04/28/2023,Approved,pmcgillicuddy@ies.org,191165
IES,ANSI/IES LM-90-20,IES Approved Method: Measuring and Quantifying Temporal Light Artifacts (TLA),(new standard),01/04/2019,11/01/2019,06/18/2020,Approved,pmcgillicuddy@ies.org,179274
IES,ANSI/IES LM-91-22,IES (Guide to) Approved Method: Application Distance Specific Radiometry,(new standard),01/18/2019,12/17/2021,02/08/2022,Approved,pmcgillicuddy@ies.org,176667
IES,ANSI/IES LM-93-22,Approved Method: Optical and Electrical Measurements of Far UV-C Excimer Sources,(new standard),05/27/2022,09/02/2022,10/24/2022,Approved,pmcgillicuddy@ies.org,189463
IES,ANSI/IES LM-98-24-2024,Approved Method: Measuring In-Situ Temperature of Solid-State Lighting Components in Lamps and Luminaires,(new standard),05/20/2022,02/23/2024,04/23/2024,Approved,pmcgillicuddy@ies.org,189413
IES,ANSI/IES LP-1-20,IES Lighting Practice: Designing Quality Lighting for People and Buildings,(new standard),04/26/2019,06/14/2019,02/07/2020,Approved,pmcgillicuddy@ies.org,180015
IES,ANSI/IES LP-10-20,Lighting Practice: Sustainable Lighting - An Introduction to the Environmental Impacts of Lighting,(new standard),07/05/2019,09/27/2019,02/07/2020,Approved,pmcgillicuddy@ies.org,180573
IES,ANSI/IES LP-11-20,Lighting Practice: Environmental Considerations for Outdoor Lighting,(new standard),09/27/2019,03/06/2020,04/21/2020,Approved,pmcgillicuddy@ies.org,181691
IES,ANSI/IES LP-12-21,Lighting Practice: IoT Connected Lighting,(new standard),02/15/2019,04/09/2021,05/27/2021,Approved,pmcgillicuddy@ies.org,179484
IES,ANSI/IES LP-13-21,Lighting Practice: Introduction to Resilient Lighting,(new standard),04/09/2021,09/10/2021,11/02/2021,Approved,pmcgillicuddy@ies.org,187345
IES,ANSI/IES LP-16-22,Lighting Practice: Documenting Control Intent Narratives and Sequence of Operations,(new standard),11/15/2019,03/11/2022,06/10/2022,Approved,pmcgillicuddy@ies.org,182040
IES,ANSI/IES LP-2-20,Lighting Practice:Designing Quality Lighting for People in Outdoor Environments,(new standard),01/04/2019,11/08/2019,02/07/2020,Approved,pmcgillicuddy@ies.org,179281
IES,ANSI/IES LP-3-20,Lighting Practice: Designing and Specifying Daylighting for Buildings,(new standard),06/14/2019,05/01/2020,06/30/2020,Approved,pmcgillicuddy@ies.org,180431
IES,ANSI/IES LP-4-20,"Lighting Practice: Electric Light Sources - Properties, Selection and Specification",(new standard),06/14/2019,09/27/2019,02/07/2020,Approved,pmcgillicuddy@ies.org,180440
IES,ANSI/IES LP-6-20,"Lighting Practice: Lighting Control Systems - Properties, Equipment and Specification",(new standard),09/27/2019,03/06/2020,05/28/2020,Approved,pmcgillicuddy@ies.org,181690
